application_date,first_name,last_name,ssn,email_address,phone_number,agent_notes,gender,age,ethnicity,income,credit_score,loan_amount,debt_to_income,is_defaulted_leak,resolution_date,row_id_proxy,default
2025-02-05,fVnFek,jtzKpUqU,942-58-9848,fVnFek.jtzKpUqU@example.com,555-269-5523,Customer discussed wTyuNcMeyJ regarding their account.,Male,30,GroupA,45844.837604631684,649.0393410690529,12307.944779188627,0.1922055995850901,0,2025-04-13,335,0
2025-01-25,blPGPU,IdxJRjHt,856-36-3550,blPGPU.IdxJRjHt@example.com,555-506-2078,Customer discussed rAxOtesiUo regarding their account.,Male,62,GroupB,41989.52519179873,607.9790480415692,6649.705144184869,0.2557101016463041,0,2025-03-11,900,0
2025-05-20,AuHYmE,hQwKAltW,434-58-1661,AuHYmE.hQwKAltW@example.com,555-637-4730,Customer discussed btpsVPllYJ regarding their account.,Male,20,GroupA,54869.72621149551,656.7599818982117,10957.677961237368,0.21305857639378467,0,2025-07-27,9676,0
2025-10-14,jqdGDG,pMyNuVib,308-77-3268,jqdGDG.pMyNuVib@example.com,555-593-6927,Customer discussed xoqnuYKHBD regarding their account.,Female,26,GroupB,67175.19792322053,676.341546032652,6976.870245915128,0.3964991447373251,0,2025-12-27,5084,0
2025-07-15,XdEQlP,KdGyNLNu,313-16-8893,XdEQlP.KdGyNLNu@example.com,555-404-3231,Customer discussed BYTyclBCKR regarding their account.,Male,49,GroupA,78785.2607202173,807.024871813898,2676.270871245431,0.5741546961639512,0,2025-09-20,5820,0
2025-11-12,dpHcmW,ibeGuXMc,543-59-3283,dpHcmW.ibeGuXMc@example.com,555-164-8407,Customer discussed nURTnQVKlI regarding their account.,Female,18,GroupA,47751.392590892116,587.7364814993708,9595.365412007888,0.3435271352596418,0,2026-01-10,2513,0
2025-12-11,gOyCVq,jZigGnyj,759-45-5468,gOyCVq.jZigGnyj@example.com,555-960-1884,Customer discussed noSyEQgUWy regarding their account.,Male,41,GroupA,28065.317937125554,534.4566523559171,15155.379686737095,0.19881290323147696,0,2026-02-12,6342,0
2025-01-13,ptARps,BKWoeths,899-89-7489,ptARps.BKWoeths@example.com,555-173-3712,Customer discussed vhvptutskT regarding their account.,Male,37,GroupA,44756.37162209617,671.2968725111155,19426.02187286567,0.08216522167087674,0,2025-03-02,6899,0
2025-01-05,thXqlk,EPjIQsxY,478-95-9196,thXqlk.EPjIQsxY@example.com,555-774-2643,Customer discussed rJkaRfHwwB regarding their account.,Female,35,GroupB,70629.15769114484,763.5442119422294,4149.995806425109,0.4427030284260971,0,2025-02-17,6560,0
2025-07-04,mKrGDJ,mNrmwgPA,550-57-5604,mKrGDJ.mNrmwgPA@example.com,555-978-9022,Customer discussed xFoFuZkics regarding their account.,Male,67,GroupC,62509.054406927586,536.1949176519564,9132.079859298536,0.47509195537967963,0,2025-08-16,3018,0
